text,label
"Security alert for your PayPal account Dear user, We detected potentially fraudulent activity on your account. If you do not act, your account will be suspended. Please verify your identity immediately. Please to verify. Link: http://auth-check.io/346",phishing
"Your order receipt Hello, Here is the policy update for your review. No action is required. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Netflix account - suspend Dear customer, We detected unusual activity on your account. If you do not act, your account will be suspended. Please verify your identity immediately. This is not spam trust us. Link: http://auth-check.io/726",phishing
"Your order receipt Dear student, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Monthly newsletter Hello, Here is the policy update for your review. No action is required. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Team meeting agenda Hi, Here is the monthly report. Let me know if you have any questions. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Netflix account - unusual activity Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, we will close your account. Please confirm now to avoid suspension. You must act now immediate. Link: http://login-verify.com/838",phishing
"Security alert for your PayPal account - urgent Dear user, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please click here to resolve. This is not spam trust us. Link: https://short.ly/7843",phishing
"Your order receipt Hi, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Bank of America account - verify your account Dear user, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please confirm now to avoid suspension. This is not spam trust us. Link: https://service.example.com/login",phishing
"Invoice available Hi, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Policy update Hi team, Here is the monthly report. Let me know if you have any questions. For reference: https://university.edu/course Thanks,",legitimate
"Course schedule Dear student, Your order has shipped. Tracking information is included below. For reference: https://company.com/portal Thanks,",legitimate
"Course schedule Hi, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://company.com/portal Thanks,",legitimate
"Policy update Hi, Thank you for your purchase. Your receipt is attached. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Apple ID account - suspend Dear user, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please click here to resolve. You must act now immediate. Link: http://auth-check.io/737",phishing
"Team meeting agenda Hi team, Your order has shipped. Tracking information is included below. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Service maintenance notice Hello, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Google account - security alert Dear customer, We detected potentially fraudulent activity on your account. If you do not act, we will close your account. Please click here to resolve. This is not spam trust us. Link: https://tinyurl.com/5128",phishing
"Your order receipt Hi, Your order has shipped. Tracking information is included below. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Netflix account Dear account holder, We detected unusual activity on your account. If you do not act, your account will be suspended. Please verify your identity immediately. This is not spam trust us. Link: https://service.example.com/login",phishing
"Security alert for your Microsoft account - password reset Dear account holder, We detected unusual activity on your account. If you do not act, we will close your account. Please update your payment method. You must act now immediate. Link: http://account-security.help/143",phishing
